[3.025.040]
TEMPRESA            Tabela de Empresas
WSOBORC3            CÁLCULO DO VALOR DO ORÇAMENTO
WSOBORC4            RELATÓRIO DO ORÇAMENTO
WSOBORC5            CONFIRMA ALTERAÇÃO ORÇAMENTO
WORDORC             Abertura de Ordem Conforme Orçamento
WFASORD             Fases de cada OF
WSOBORLIM           LIMPEZA DE ORÇAMENTOS
WACABAME            Lista de Acabamentos para Móveis
WNTVPED1            Informação dos Pedidos que Sairão na NF
WASCRIPT            ALTERA SCRIPT
WBCNFBAL            Balancete Conferência
WBCNFENTR           Entrada Balancete Conferência
WCNFLANC            Conferência de Lançamentos
WCNFMUDA            Muda C. Custo Lançamentos
WCNFORDEM           Acerta Ordem Lançamentos
WCNFWLANC           CONFERE LANÇAMENTOS
WCTBATMES           Atualização CTB Mês
WCTBATUAL           ATUALIZAÇÃO MONETÁRIA CTB
WCTBBCCUS           BALANCETES P/C.CUS
WCTBEXC             EXCLUI TABELA A IMPORTAR CTB
WCTBORC2            Formulário para Orç. Anual
WDEMCTB             Relatórios Demonstrativos
WDEMCTB1            Lista da Composição do Demonstrativo Configurável
WDEMCTBI            Lista Dem. CTB
WDEMCTBR            RELAT. DEM. CTB
WESCRIPT            Entrada Relatórios de Transferências
WEXPDCTB            Exporta Texto para Outra CTB
WIMPTEXTO           IMPORTA TEXTOS
WINDCOTU            Últimas Cotações
WLIMPALAN           LIMPA LANÇAMENTOS
WLIMPATRI           LIMPA PATRIMÔNIO
WLMPCTB             LIMPA CONTAB
WLMPCTBA            Limpa Contabilidade
WRPLANOT            REL. PLANO /TÍTULO
WRVCPART            REVER C/PART. AUTOMÁTICA
WSCRIPT             Históricos de Transferências
WSCRIPT1            TRANSFERÊNCIAS DE UM BEM
WSETORCC            C.CCUSTO DE SETORES
WSETORZ             ZOOM SETORES
WZCTBATUAL          ATUALIZAÇÃO MONETÁRIA
WTIPACAB            TIPOS DE ACABAMENTOS
WACAORD1            Menu Gera Ordens Conforme Pedidos
WPEDID17            RETIRA INFORM.LOTE DO PEDIDO
WLOTEPR2            Menu Geração de Lista de Corte por Lote de Produção
WLOTEPR4            Menu Geração Lista de Produtos Conforme Lote de Programação de Produção
WPROCES2            Menu Relatório dos Processos
WCREDQUA            Créditos por Qualificação
WLOTECA2            Menu Relatórios Lote de Carga
WVENDED1            Menu Relatórios de Representantes
WGRMAQUI            Grupos de Máquinas
WOPPROC             Operações para os Processos
WMURLPEFA           Pedidos Faturados em um Período
WLMPENTR            Limpeza Notas de Entrada
WLMPENT1            LIMPEZA NOTAS POR PERÍODO
WLMPENT2            LIMPEZA NOTAS POR NÚMERO
WRESTPOF            RESUMO POR TIPO DE ORDEM
WLIESTO1            Limpeza de Produtos Fora Linha
WLISPRE1            Lista de Preços de Produtos por Descrição
WLISPRE2            Menu Relatório Lista de Preços
WVENDPRE            PREPOSTOS DOS REPRESENTANTES
WMUEXTERNO          Menu Mercado Externo
WMCSCLAS            Classificações Fiscais para Exportação ao Mercosul
WMCSPROD            Descrição Produtos para Exportação
WMCSFATU            Faturas Emitidas para Exportação
WMCSEMBAR           Menu Lista de Embarque / Fatura
WOBSERV1            Lista de Observações Padronizadas
WOBSOPESA           Lista de Observações por CFOP
WOBSOPNOT           Observações Conforme CFOP para Serem Impressas na Nota
WMUINIA1            Menu Inicial Adm/Financeiro
WMUINAU1            Menu Inicial Auxiliares
WMUINCT1            Menu Inicial Contábil
WMUINVE1            Menu Inicial Vendas
WUMSBG1             MARCAR SUBGRUPOS POR GRUPO
WUMSBG2             MARCAR SUBGRUPOS POR TIPO
WELYNOTA            Layout Etiquetas das Notas
WETLAYOUT           Emissão de Etiquetas dos Produtos das NF's
WAPUMAO             Apuração de ISSQN
WCODMOD             CÓD MODELO  DOCUMENTOS FISCAIS
WGERMAG             NAT.OPERA E OBSERV.-SINTEGRA-
WGERMFIM            -SINTEGRA-  FIM
WPARCREDITO         Parcelas de Crédito de ICMS
WOBSOPER            OBSERVAÇÕES DA NATUREZA
WENTDIGI            NOTAS DE ENTRADAS DIGITADAS
WNOTEMULT           NOTA ENTRADA MÚLTIPLA
WTITEMULT           TÍTULOS MÚLTIPLOS DE ENTRADA
WFATURES            Resumo do Faturamento por CFOP
WANULANF1           CONFIRMA ANULAÇÃO DE NF
WDULAYO1            EMISSÃO DUPLICATAS AUTOMATICO
WDULAYO2            Menu Emissão de Duplicatas Próprias
WCARPLANI           Cartão para Planilhamento
WFUNCOES            Lista de Funções
WFUNCIREL           Menu Relatório Funcionários
WFUNCOFAX           FAIXAS SALARIAIS DAS FUNÇÕES
WPARADAS            Motivos de Paradas na Produção
WFATURE1            Resumo do Faturamento por Representante
WFATURE2            Menu Resumo do Faturamento
WMULMPCAI           Menu Limpeza do Caixa
WLMPPREV            Limpeza das Previsões do Caixa
WPAGARD             CONTAS A PAGAR ORDEM DESCENDEN
WPREENSD            Previsões Entrada/Saída Descendente
WPRZFATU            Prazos de Faturamento
WEMBARQ5            GERA ETIQUETAS DOS PRODUTOS
WPEDCART            Pedidos em Carteira não Faturados
WLOTPRO4            Lotes de Produção
WMUSAID1            Menu Etiquetas NF's de Saída
WETEAN13            Etiquetas Prod. Nf Cod. barras
WPGPRO05            Produtos Pendentes de Produção
WMUPROG1            Programação da Produção
WCBCMPNMES          Média -N- Meses P/ Orçados
WCBCMPORCA          Balancete Comparativo Orçados
WCBDEMONS           OPÇÕES BALANCETES DEMONS
WCBRAZAUX           Razão Auxiliar C. Pagar/Receber
WCBREXCPOS          Excluir Posição Razão Auxiliar
WCBRPCALC           Cálculo Posição Razão Auxiliar
WCOMCTB1            Comparativo CTB ABC Composição
WCOMCTBI            Lista Com. CTB ABC
WDEMCTHC            Criar Demonstrativo CTB por Herança
WENTDIAB            ENTRADA PARA TRANSCRIÇÃO BALAN
WENTDIAC            Entrada para Diário Contabilidade
WENTDIAP            ENTRADA PARA DIÁRIO C.PAGAR
WPLNCCU             Centro de Custo Proibido
WPLAPARA            Planilhamento de Paradas
WMUPLANILHA         Menu Planilhamentos
WPLAPAREL           Relatório Planilhamento de Paradas
WPEDIDO1            LISTA DE PEDIDOS DE VENDA
WTITULOE            Títulos Notas de Entrada
WELYPROD            Layout Etiquetas dos Produtos
WELYPRO1            Menu Gera Etiquetas dos Produtos
WELYPRO2            Pede Produtos para Etiquetas
WSOFTDESI           Menu Integração Softwares Design Gráficos
WSOFTDE1            IMPORTA SOFTWARE DESIGN
WMUGEREN            Menu Informações Gerenciais
WMUGERCOM           Menu Gerencial Gestão Comercial
WMUGERE1            Menu Informações Gerenciais
WRESTPO5            LISTA RESUMO TIPO ORDENS
WMUGERI1            SOLICITAÇÃO CÓDIGO DO PRODUTO
WFATURE5            FATURAMENTO POR REPRESENTANTE
WFATURE6            FATURAMENTO POR NAT.OPERAÇÃO
WABCCLI1            Curva ABC por Clientes
WABCPRO1            CURVA ABC POR PRODUTOS
WANACUS             Análise de Custo do Produto
WRLPDCO1            Pedidos Compras por Fornecedor
WPEDIDO2            PEDIDOS DE UM LOTE DE CARGA
WFISNFSUBISSQN      LISTA DE NOTAS C/SUBST.ISSQN
WEMBALAGEM          Lista de Tipos de Embalagens
WEMBPRO             Embalagens por Produto
WETLAYO5            Emissão de Etiquetas dos Produtos dos Pedidos
WOCMENTO            Lista de Orçamentos Especiais - um Produto
WOCMENT1            Escolha Dados para Relatório
WBATISMO            Lista de Batismo de Produtos
WPEDIDO4            NOTAS EMITIDAS DO PRODUTO
WLOTPRO5            Pede Produtos para Formar Lote
WETEAP13            ETIQUETAS COD.BARRAS EAN13
WMUVEND6            CURVA ABC PARAMETRIZADA
WLACMUL1            Período Avaliação Deb.Múltiplos
WNVACP01            ACABAMENTOS POR TIPO
WPEDIDO5            Lista de Pedidos
WTABPRV1            Lista de Preços dos Produtos
WTELAF2             Tela F2 com Informações de Produtos / Clientes / NF Emitida
WTELAF20            Tela F2 - Clientes
WTELAF23            Tela F2 - Produtos
WTABPRV2            Lista de Preços de um Produto
WTELAF25            Cálculo do Giro do Produto
WEMPET2             Escolher Empresas p/ Qualificação
WSOFTDE0            Lista de Layout de Softwares Design
WLOGACES            Log de Acessos as Tabelas
WMULOG              Menu de Logs
WLOGACE2            LIMPEZA DE REGISTROS DE LOGS
WPSVAVIS            Avisos de Contatos Pós-Venda
WPSVMENU            Menu Pós-Venda nas Entregas
WPSVCONT            Lista de Contatos Pós-Venda de Entregas
WPSVCON1            Menu Relatório de Contatos
WFIMRS              MENU RELATÓRIO FIM-RS
WMURELP3            Impressão Resumida do Pedido
WEMPET4             Escolher Empresas p/ Representante
WAUSETIP            TIPOS DE AUSÊNCIA
WAUSENCIA           AUSÊNCIAS DE FUNCIONÁRIOS
WAUSENC1            MENU RELAT.AUSÊNCIAS
WIMPRESS            Lista Configuração Impressoras
WETAPV              Lista de Etiquetas Apoio a Vendas
WCHPRE11            Consulta Cheques de Terceiros
WCHPRE14            Define Impressão de Cheques
WLAYCH01            Lista de Layout's de Cheques
WCOPIAPR            Cópia do Cadastro de Item
WSIMUES2            Simulação por Lote de Produção
WEMPRES6            Zoom de Empresa
WEMPRES7            Qualificação da Empresa
WEMPRES8            Observações das Empresas
WNARRPED            Narrativa Produto do Pedido
WMADTIPO            Tipos de Madeiras
WMADFORNE           Fornecedores de Pacotes e Secagens
WMADMADE            Lista das Madeiras
WMADPACO            Lista de Pacotes de Madeira
WDIPIANO            ANO DO D.I.P.I.
WINDICAMED          MÉDIA INDICADORES
WPOSIALT            Alteração nas Posições
WBATINF1            Informação 1 do Batismo
WBATINF2            Informação 2 do Batismo
WBATINF3            Informação 3 do Batismo
WBATINF4            Informação 4 do Batismo
WBATINF5            Informação 5 do Batismo
WBATINF6            Informação 6 do Batismo
WMENUCCP            Menu Emissão CCP
WLISCOM2            Espelho Pedido de Compra
WLOTPRO7            Menu Relatório Sequência para Produção
WDEBMOD             DÉBITOS P/MOD. DE COBRANÇA
WMUVEND7            Vendas por Representante
WPASLOTE            Passagem de Fases por Lote
WMURECE1            Forma Consulta aos Títulos
WPAGART             Contas a Pagar
WMUPAGA1            Forma Consulta aos Títulos
WLOTPR01            Informar Variação de Acabamento do Produto
WRLCCUSTO           Resultado por C. Custos
WEMPRES9            Lista de Empresas por Tipo
WCALCULI            Cálculo Lista Produtos Fabricados
WSUBFILHO           Substituição Produto Filho
WDUPDES1            Período a ser Avaliado
WMURLLUCRA          Lucratividade Venda e Pedidos
WDUPDE10            Quitação Duplicatas Descontadas
WDUPDE13            Escolha de Banco
WFATULOT            Resumo Faturamento por Lote de Carga
WFATUR14            Faturamento por Lote Carga
WLOTEFIL            Opções de Filtro para os Lotes
WMURELP9            Impressão Pedido Interno
WDUPDE18            Lista de Duplicatas Descontadas
WMUREPR1            Menu Remessa das Informações para o Representante
WSCIEQF             SC IEQUIFAX
WSCIEQFAX           SCI EQUIFAX
WSCIEQFNV           NOVO SCI EQUIFAX
WSCIEQFGER          GERAR SCI EQUIFAX
WLOTEPR8            Menu OF's do Lote por Fase Conforme Produção
WLOTEPR10           OF's do Lote por Fase-Máquina
WIMPREPR            Importação do Representante
WMCSEXPORT          Menu Exportações
WMCSIDIOMA          Idioma em Uso
WMCSRODA            DECLARAÇÕES POR IDIOMA
WNTVPED8            Produtos Pendentes para Faturamento
WMUPEFAB            Menu de Pedidos de Venda
WLMPBANCO           Limpeza de Bancos
WMCSMATRIZ          Matrizes de Conversões
WLMPNATU            Marca CFOP's para Limpeza
WPASFS1             Menu Relatórios Passagem de Fases
WPASFS2             MENU REL.POSIÇÃO DA FASE
WMUSLDMIN           Dados para Saldo Mínimo
WNFCAR01            Informações para Gerar NF por  Lote de Carga
WPEDCOFA            Pedidos em Carteira Cfe Origem
WPASFS3             MENU REL.SALDOS POR FASE
WTRANSPORT          Lista de Transportadoras
WRELTABREG          Relação Tabela de Preços x Região de Custo
WRELGERA            Relatórios
WCPVEND01           CONSUMO PADRAO CFE VENDAS
WRECGE4             Crédito de Clientes - Geral
WPAGGE1             Débito Geral
WNTVPE12            Informar Valor Frete Embutido
WMULISTPED          Relatório Lista de Pedidos
WIMPNF03            Impressão de Notas por Data
WIMPNF04            IMPRESSÃO DE NOTAS P/LOTE
WRELNF01            Relatório de Notas
WZOOMPASLOT         Zoom da Passag. Fase por Lote
WZOOMVEND           Zoom do Representante
WTITUOUT            Lista de Outros Títulos
WGEXTGER            Extrato de Clientes
WGEXTGEP            Extrato de Fornecedores
WIMPRDISP           Impressoras Disponíveis
WIMPRTERM           IMPRESSORA TERMINAL
WCHPRE32            Zoom de Cheque de Terceiros
WTABPRV3            Exclusão Tabela de Preço
WMADRELAT           Menu Orçamento Móveis Modulares
WMADREL1            Menu Relatório Madeira por Qualidade
WMADREL2            Menu Relatório por Qualidade
WMADREL3            Menu Relatório Consumo Madeira/Série
WTITUOU1            Zoom de Outros Títulos
WMADPAC1            Pacotes de Madeiras por Pacote
WMADREL4            Menu Relatório Estoque Físico dos Pacotes
WMADREL5            Menu Ficha Estoque Madeira
WMADREL6            Menu Relatório Saída/Requisição
WMADREL7            Menu Relatório Secagem da Madeira
WMADREL8            Menu Resumo do Consumo Diário
WMEMBARQ1           Menu Relatório de Embarque
WMADREL9            Menu Resumo Madeira por Tipo
WMADREL0            Menu Resumo Reestufar
WNREGDUPLI          Natureza de Operação para Registro de Duplicatas
WLOTEPR9            OF's do Lote por Fase
WUMPRTIPO           LISTA DE TIPOS DE TÍTULOS
WCHPRE40            Cheques de Terceiros por Dinheiro
WMEDPRFI            MEDIDAS FINAIS DOS PRODUTOS
WESTRUT2            Menu Rotinas Especiais
WRECQUEB            Recalcula Percentual de Quebra
WPRTIPO5            Lista de Tipos de Títulos
WLMPOUTIT           Limpeza de Outros Créditos/Débitos
WAPUCOMP            Apura Comissões Sobre Pedidos
WMUTITBAN           Menu Titulos Cobrança Eletrônica
WTABEXPORT          EXPORTACAO DAS TABELAS
WOCMHIST            Histórico do Orçamento
WRELPRODES          Relação Produto x Design
WOCMENT6            Só Lista de Orçamento
WZPEDIDO            Zoom de Pedidos
WOCMENT7            Simulação de Quantidades
WOCMENT8            Simula Margens
WMUPASLOTE          Filtros Passagem Fas. Por Lote
WPEDIDO8            COPIA PEDIDO DE VENDA
WNOTASW3            Lista de Comissionados da Nota
WDEMCTB2            Aux. Demonstrativo CTB
WENTRAZP            Entrada para Razão Auxiliar Contas  Pagar
WENTRAZR            ENTRADA PARA RAZÃO C.RECEBER
WULTCOMPRA          Últimas Compras Realizadas
WLISPEDIDO          Lista  de Pedidos Simples
WCOMLIB2            Apura Comissões
WDEMON01            Menu Demonstrativo Mensal do Estoque
WRECMUL1            Período Recebimentos Múltiplos
WSIMUES3            Simulação de Estoques
WTOQCLASS           Altera Classificação Fiscal
WMOVCFOP            Movimentação Por CFOP
WPMRTIPO            TIPOS TÍTULOS POSIÇÃO MENSAL
WPMRECEB            POS MENSAL RECEBIMENTOS
WPMREXCPOS          EXCLUIR POSIÇÃO MENSAL
WPMRPOSCALC         CÁLCULO POSIÇÃO MENSAL
WPMRPOEMP           Posição Mensal Empresas
WRAZGERPROD         Razão Geral de Produtos
WREQMATPRI          Requisições de Matérias Primas
